station_name,name,lat,lon,capacity,bikeability_total,bike_lane_score,bike_lane_density,bike_lane_weighted_density,poi_score,intersection_score,network_score,crime_score,capacity_score,green_space_score,intersection_density,network_density,poi_amenity_arts_centre,poi_amenity_bank,poi_amenity_bicycle_parking,poi_amenity_cafe,poi_amenity_cinema,poi_amenity_community_centre,poi_amenity_fountain,poi_amenity_hospital,poi_amenity_library,poi_amenity_parking,poi_amenity_pharmacy,poi_amenity_place_of_worship,poi_amenity_post_office,poi_amenity_restaurant,poi_amenity_school,poi_amenity_theatre,poi_amenity_university,poi_highway_cycleway,poi_highway_service,poi_leisure_fitness_centre,poi_leisure_garden,poi_leisure_park,poi_leisure_playground,poi_leisure_sports_centre,poi_leisure_track,poi_shop_bakery,poi_shop_clothes,poi_shop_convenience,poi_shop_department_store,poi_shop_supermarket,poi_tourism_attraction,poi_tourism_hotel,poi_tourism_museum,infra_highway=cycleway,infra_highway=path,infra_highway=primary,infra_highway=residential,infra_highway=secondary,infra_highway=service,infra_highway=tertiary
6104.01,55 Ave & Center Blvd,40.740288,-73.960697,27,49.86954230618177,65.67163251519291,17.93445089486352,6.5671632515192915,26.325,0.002049915667023612,64.32701173230872,0,54.0,17.573499169029574,0.00040998313340472243,90.0578164252322,0,0,6,6,0,0,0,0,0,10,2,0,0,6,3,0,0,23,30,0,11,10,7,0,0,0,0,0,0,4,0,0,0,2702.400351485693,28.14047923905165,0.0,4445.775859541371,0.0,708.9913075943075,0.0
6254.06,Center Blvd & 48 Ave,40.745038,-73.957539,27,51.16624963099447,49.25259484317521,33.52328205428435,4.925259484317521,57.300000000000026,0.0035459721320874283,100.0,0,54.0,15.86634806271237,0.0007091944264174856,187.9911658116269,1,2,26,7,0,2,1,0,1,32,3,1,1,40,5,1,0,16,66,2,5,8,12,0,0,1,1,2,0,3,1,1,1,1348.4065011678294,28.14047923905165,1019.0483284505851,9020.883641543487,1756.806993443867,2350.8217603488633,262.0290678712942
4169.04,Pioneer St & Van Brunt St,40.679043,-74.011169,39,44.76042215767815,40.35198071573773,50.19475215869186,4.035198071573773,47.97500000000001,0.004061634147705169,100.0,0,78.0,7.2628786653952115,0.0008123268295410339,207.68978846930057,5,0,34,7,0,0,0,0,0,10,1,4,0,11,4,0,0,5,95,2,14,2,5,2,1,1,2,7,0,0,0,2,0,459.69191368304814,0.0,0.0,11337.683257034647,2847.2239363504477,7516.3464861953225,0.0
6765.01,12 Ave & W 40 St,40.76087502,-74.00277668,76,43.462265808020376,38.27737381458373,22.954012663152884,3.8277373814583733,38.975,0.002788394602970007,95.56677823848096,0,100.0,13.146007179202751,0.0005576789205940013,133.79348953387336,1,0,9,2,0,0,2,0,0,10,1,1,0,7,0,1,0,15,88,1,48,5,0,1,0,0,0,4,0,0,3,2,1,1621.0720132188646,0.0,2306.1278000494526,616.8341239424257,1071.9419576320097,3705.5226702743516,0.0
5297.02,Vesey Pl & River Terrace,40.7153379,-74.01658354,57,61.13260814146858,44.195176910413494,18.470494390961456,4.419517691041349,100.0,0.005207549737966815,98.29140434517606,0,100.0,28.039195011628195,0.001041509947593363,137.60796608324648,0,4,82,9,1,0,6,0,1,3,2,0,0,11,1,1,1,46,36,2,729,15,8,0,0,0,11,0,1,3,2,2,1,1691.299667843793,0.0,0.0,4368.023502450155,443.2180784334972,574.6626052340091,0.0
5794.05,India St Pier,40.73173479,-73.96123901,54,28.284206459966448,13.927720600863083,19.51961243472455,1.3927720600863083,47.925,0.002018084678405233,61.235961251334636,0,100.0,4.078333562676293,0.0004036169356810466,85.73034575186848,0,0,44,10,1,1,0,0,0,1,0,3,0,17,0,0,0,0,33,3,31,5,4,0,0,1,4,9,0,4,0,1,0,0.0,0.0,0.0,4956.0702911472135,574.2998221464749,2262.6338788342014,1419.3774026548745
4903.08,Old Fulton St,40.70277159,-73.99383605,39,52.940395748747264,19.42211865059312,21.764096941385667,1.9422118650593119,100.0,0.00462185954738864,100.0,0,78.0,62.19557615633806,0.0009243719094777282,169.32224963957555,0,1,47,14,0,0,1,0,1,15,1,2,1,27,2,3,1,14,31,5,289,16,5,2,0,0,2,0,0,2,5,1,2,56.32357785626327,426.66726301668274,734.4219830059305,4431.08916977978,1606.9139142102567,1098.3252551015719,1043.307787750326
4614.04,Atlantic Ave & Furman St,40.69165183,-73.9999786,37,50.75028068724164,42.66156147729837,28.832683051197655,4.266156147729837,50.65000000000005,0.0033995495844428847,100.0,0,74.0,37.2633329906163,0.0006799099168885769,141.51021328122692,1,0,43,12,0,0,5,0,0,4,1,4,0,27,2,1,0,17,43,3,3,6,11,1,0,1,2,5,0,3,2,0,0,1098.6596055500854,192.35633539565555,915.0631962521204,6958.698694463426,2002.8052318743485,1812.694832197881,858.8319061977235
7003.06,Vernon Blvd & 31 Ave,40.7692475,-73.9354504,23,39.46357944327137,33.099288079680505,42.462889416361264,3.3099288079680504,43.74999999999999,0.0038515496228238673,100.0,0,46.0,12.426236022874122,0.0007703099245647734,205.8575331383863,0,1,23,4,0,0,0,1,0,22,2,4,1,11,4,0,0,13,84,0,12,5,7,0,0,0,0,4,0,2,0,0,1,523.1313512757656,0.0,776.4662535961958,7046.352519259653,3592.962495559898,6459.736162274997,1291.492310984063
5181.04,Cherry St,40.71219906,-73.97948148,36,34.74826352355564,16.583447181196075,25.212890074001727,1.6583447181196074,39.07500000000001,0.00336135239810083,100.0,0,72.0,33.610266219717325,0.0006722704796201659,157.67241380046815,1,1,23,1,0,1,0,0,0,17,2,5,0,6,4,1,0,8,48,0,11,13,8,0,3,1,0,3,0,2,0,0,0,90.6545345448376,0.0,1410.474264592184,5789.077639825475,1510.452827263685,2795.0278546352774,0.0
